class,maxV,minV,width,minVbp,threshold
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,39.87230505,-54.12706277,1.059,-54.12706277,-47.48437662
0,0,0,0,0,0
1,34.14501846,-50.79313655,0.957,-50.79313655,-47.36215101
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,34.28632605,-55.26143186,0.924,-51.69300377,-47.31715433
1,41.6348955,-55.75789856,1.086,-55.75789856,-47.61046956
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,13.15406582,-60.01104582,0.957,-40.88586684,-40.88586684
0,0,0,0,0,0
0,0,0,0,0,0
1,38.80901125,-53.07621451,1.062,-53.07621451,-47.4030614
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,38.05088603,-53.66729529,0.969,-53.66729529,-47.43667658
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,34.49890725,-49.85927486,1.035,-49.85927486,-47.36917242
1,30.78223825,-46.46319329,1.095,-46.46319329,-46.46319329
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,41.6025728,-55.25570919,1.116,-55.25570919,-47.50776698
0,0,0,0,0,0
1,26.5506633,-52.71755851,0.969,-46.17393753,-46.17393753
0,0,0,0,0,0
1,21.01692156,-67.04875702,0.855,-46.02863343,-46.02863343
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,41.63969261,-55.62332729,1.083,-55.62332729,-47.56842267
1,32.72449896,-49.80044299,0.972,-49.78555985,-47.37847087
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,35.0651221,-53.25854886,0.939,-51.97160837,-47.33209659
1,40.73932587,-54.41665133,1.098,-54.41665133,-47.48841978
0,0,0,0,0,0
1,32.62226705,-48.61223514,1.041,-48.61223514,-47.43888188
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,40.96518527,-55.29902684,1.047,-55.29902684,-47.49866582
1,34.31438185,-58.61463599,0.891,-52.11886571,-47.31344552
0,0,0,0,0,0
1,29.57262219,-68.38698738,0.843,-50.51775063,-47.16237656
0,0,0,0,0,0
1,35.9823111,-52.65302191,0.933,-52.65302191,-47.37216205
1,40.09343802,-54.77388879,1.032,-54.77388879,-47.46063471
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,39.14460407,-53.25571244,1.077,-53.25571244,-47.37100184
0,0,0,0,0,0
1,18.0892582,-67.00887219,0.864,-44.77650867,-44.77650867
0,0,0,0,0,0
0,0,0,0,0,0
1,33.43768441,-59.92631871,0.882,-51.64912596,-47.28340024
1,35.56860003,-55.0707032,0.924,-52.6386538,-47.34236434
1,30.58450248,-54.03776804,0.933,-48.92330434,-47.38351909
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,41.61359958,-55.31082689,1.113,-55.31082689,-47.48917062
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,34.64497141,-52.31834963,0.939,-51.50996442,-47.3439998
1,32.5005891,-49.78325869,0.969,-49.58832489,-47.38941116
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,33.68726459,-57.28398221,0.9,-51.50572958,-47.32167624
0,0,0,0,0,0
0,0,0,0,0,0
1,33.25397041,-49.61392654,1.005,-49.61392654,-47.37871616
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,15.45381946,-66.66618566,0.864,-43.75017956,-43.75017956
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,42.00998852,-55.77190659,1.107,-55.77190659,-47.61878057
0,0,0,0,0,0
1,33.73264968,-49.07878571,1.047,-49.07878571,-47.40174086
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,18.65717996,-45.20029286,1.125,-39.53237849,-39.53237849
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,33.79765859,-49.7960246,1.02,-49.7960246,-47.39362937
1,33.42907792,-52.74853949,0.945,-50.72763538,-47.33593046
1,26.71783914,-53.78635608,0.954,-46.53317452,-46.53317452
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,26.69542694,-66.77004838,0.843,-48.69148427,-47.24874852
1,39.97373706,-54.76921306,1.029,-54.76921306,-47.49298921
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,33.86898132,-49.89271194,1.002,-49.89271194,-47.38011035
0,0,0,0,0,0
1,37.82448459,-53.21208376,0.993,-53.21208376,-47.37454426
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,27.22562425,-65.56289211,0.864,-48.68755478,-47.2753914
1,34.9279795,-50.4354063,1.014,-50.4354063,-47.3527838
0,0,0,0,0,0
0,0,0,0,0,0
1,32.11576289,-50.48495607,0.975,-49.44203751,-47.35207813
1,30.00155029,-64.7438261,0.867,-50.15178545,-47.22377065
0,0,0,0,0,0
0,0,0,0,0,0
1,39.90643173,-54.00226185,1.065,-54.00226185,-47.42320625
0,0,0,0,0,0
0,0,0,0,0,0
1,40.22992143,-54.26879856,1.083,-54.26879856,-47.4666653
1,28.30699353,-46.81905574,1.023,-46.20002784,-46.20002784
0,0,0,0,0,0
0,0,0,0,0,0
1,41.5671118,-55.56447562,1.086,-55.56447562,-47.60137314
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,41.82659948,-55.55203714,1.107,-55.55203714,-47.56183631
1,31.25333382,-51.35287445,0.963,-48.95204732,-47.39571177
0,0,0,0,0,0
1,34.94885042,-54.95328726,0.924,-52.09642607,-47.31669243
0,0,0,0,0,0
0,0,0,0,0,0
1,41.29884261,-55.10279598,1.101,-55.10279598,-47.52898189
0,0,0,0,0,0
1,37.20106436,-52.04293455,1.026,-52.04293455,-47.3827648
0,0,0,0,0,0
1,30.64364451,-65.72477968,0.864,-50.64571664,-47.21733781
1,32.70078384,-55.66061575,0.912,-50.62584584,-47.32627125
1,37.47297959,-53.03337524,0.975,-53.03337524,-47.39653588
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,22.11648902,-49.31680237,1.041,-42.9213709,-42.9213709
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,31.73351328,-56.79058705,0.921,-50.12293695,-47.30482351
0,0,0,0,0,0
1,34.70824954,-55.88752031,0.915,-52.07970868,-47.34239767
1,42.42051255,-56.14993142,1.134,-56.14993142,-47.5705313
1,24.28735627,-69.57809459,0.831,-48.07340732,-47.18640806
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,40.59168086,-54.25425145,1.116,-54.25425145,-47.43915441
0,0,0,0,0,0
